scenario,year,avg_knowledge,avg_computational,pisa_like,inequality_cv,tech_ready_share,economy_productivity,capital_attraction,innovation_capacity,education_investment,effective_spending,spending_loss,institutional_quality
Baseline_sem_computacao,0,0.19950948894183426,0.0,265.9607591153467,0.2540077659117275,0.0,1.0,1.0,0.5,1.0,0.364375,0.635625,0.4779166666666667
Baseline_sem_computacao,1,0.20790400708705412,0.001598837768390924,266.7202566442258,0.24587599375667724,0.0,1.0043592826168755,1.0107679186503897,0.5034095665419955,1.0028531469251576,0.3654146154108543,0.6374385315143033,0.4779166666666667
Baseline_sem_computacao,2,0.21642483575624444,0.002897163761669047,267.4733308673913,0.2404509375551638,0.0,1.0087424833591887,1.0215862469800572,0.5068219522050121,1.0057494162120428,0.3664699435322631,0.6392794726797797,0.4779166666666667
Baseline_sem_computacao,3,0.22480425525938197,0.003709705119281656,268.188374202311,0.23721821630133355,0.0,1.0131504298549787,1.0324559332053656,0.5102376912848176,1.0086892924434478,0.36754116093408135,0.6411481315093666,0.4779166666666667
Baseline_sem_computacao,4,0.23290034424562664,0.004412852356332612,268.87473441924845,0.23510761203403266,0.0,1.0175817695396787,1.0433758556509465,0.5136556363274837,1.0116732572046345,0.3686284430939387,0.6430448141106958,0.4779166666666667
Baseline_sem_computacao,5,0.24124423215285,0.00513407319464837,269.5819125979337,0.23349622367547773,0.0,1.02203975887673,1.0543492765235933,0.51707818235833,1.0147018151318583,0.3697319738886709,0.6449698412431875,0.4779166666666667
Baseline_sem_computacao,6,0.24981685514891377,0.005809320509654596,270.3048610399441,0.23316933933773332,0.0,1.0265214602417758,1.0653735734775385,0.5205029658276173,1.0177754589764176,0.37085193286453216,0.6469235261118855,0.4779166666666667
Baseline_sem_computacao,7,0.25805244190116083,0.006515028790980041,271.0025219355968,0.23384486827910697,0.0,1.031022415094374,1.076444660578376,0.5239265153678134,1.020894660287703,0.37198849184233174,0.6489061684453712,0.4779166666666667
Baseline_sem_computacao,8,0.266327625826991,0.007129182423035344,271.6983150994262,0.2347610895593043,0.0,1.035547460465734,1.0875672799025884,0.5273524310966666,1.0240599227742266,0.37314183436085885,0.6509180884133678,0.4779166666666667
Baseline_sem_computacao,9,0.27456215295247055,0.007539844756517283,272.3796636978061,0.23661345583104826,0.0,1.0401027229866202,1.0987474339061178,0.5307852182365298,1.0272717908353692,0.3743121587856377,0.6529596320497315,0.4779166666666667
Baseline_sem_computacao,10,0.2828209360407743,0.008042245056486073,273.06799836136867,0.23863169606149373,0.0,1.0446837472402057,1.109981087902716,0.5342213949113496,1.0305307881833659,0.3754996559443139,0.655031132239052,0.4779166666666667
Baseline_sem_computacao,11,0.29146141685733123,0.008401460185069268,273.77899365876533,0.24075740252457142,0.0,1.0492851765426159,1.121263319908681,0.5376568689081387,1.0338374116412892,0.37670450686679474,0.6571329047744945,0.4779166666666667
Baseline_sem_computacao,12,0.3000169369613373,0.00881938299405413,274.48642102158,0.24263679429302798,0.0,1.053911124242944,1.1325981871436201,0.5410946306943958,1.0371921869689293,0.3779269031268036,0.6592652838421258,0.4779166666666667
Baseline_sem_computacao,13,0.30807118908975,0.009284112781578206,275.1563213301668,0.24648866783326892,0.0,1.0585641263853482,1.1439882768451346,0.5445364586659399,1.0405956601733597,0.37916704367566795,0.6614286164976917,0.4779166666666667
Baseline_sem_computacao,14,0.3161918390667514,0.00969676842125928,275.8286693885094,0.2495647275573469,0.0,1.0632574781884165,1.1554464267048905,0.5479919894318098,1.0440484635631773,0.38042515891083273,0.6636233046523445,0.4779166666666667
Baseline_sem_computacao,15,0.3245001535830831,0.010056393960206607,276.513113954458,0.2540254383726229,0.0,1.0679677734673259,1.1669506571422974,0.5514438961491923,1.0475510932991279,0.3817014296208697,0.6658496636782582,0.4779166666666667
Baseline_sem_computacao,16,0.33306527017768006,0.010457795965045263,277.2204003922919,0.25595295411233965,0.0,1.0727057745497177,1.1785113227387771,0.5548999835748947,1.0511041158796588,0.3829960622236507,0.6681080536560081,0.4779166666666667
Baseline_sem_computacao,17,0.34116352490304214,0.010829961140070676,277.8887298549473,0.2589863588473478,0.0,1.0774735814939735,1.1901306184004232,0.5583616566378009,1.0547081164293972,0.38430926992396164,0.6703988465054356,0.4779166666666667
Baseline_sem_computacao,18,0.3494142877320616,0.011068075652062559,278.56188717942837,0.26194723169393164,0.0,1.0822741620202574,1.2018115776384881,0.561830919264321,1.058363704601053,0.3856412748640087,0.6727224297370443,0.4779166666666667
Baseline_sem_computacao,19,0.3574106907467085,0.011551908090970899,279.22821020474004,0.26504707381402653,0.0,1.0871082628094286,1.2135551444045831,0.565308148254275,1.0620715012018138,0.38699230325041095,0.6750791979514028,0.4779166666666667
Baseline_sem_computacao,20,0.3654295080455127,0.012039588605431603,279.89653801693976,0.2686327767898505,0.0,1.0919647124855594,1.225350946599487,0.5687852131699276,1.0658320626052247,0.38836255781177875,0.6774695047934459,0.4779166666666667
Computacao_superficial,0,0.20083216417102023,0.0,266.06657313368163,0.2586567103508476,0.0,1.0,1.0,0.5,1.05,0.42629999999999996,0.6237000000000001,0.5351666666666666
Computacao_superficial,1,0.21169757901052125,0.002674129051709782,267.08288341868575,0.24681209056979894,0.0,1.0051155569577654,1.0118388302730674,0.5039819055543976,1.0537657215935958,0.4278288829669999,0.625936838626596,0.5351666666666666
Computacao_superficial,2,0.22251468633383192,0.005201718662478733,268.08726943314286,0.23847260300981873,0.0,1.0102527018221066,1.0237351549523672,0.5079612433045994,1.0575951901655682,0.42938364720722066,0.6282115429583476,0.5351666666666666
Computacao_superficial,3,0.23303263773828875,0.007405850331602535,269.04993278730126,0.23392348444925817,0.0,1.0154221484535304,1.0356989888926549,0.511946166509379,1.0614892359746462,0.43096462980570627,0.6305246061689399,0.5351666666666666
Computacao_superficial,4,0.24356698095365906,0.009521597475938861,270.0090463374694,0.23168288699824957,0.0,1.0206207058317684,1.0477276204991226,0.5159340549273289,1.065448674822203,0.4325721619778144,0.6328765128443885,0.5351666666666666
Computacao_superficial,5,0.2540934479817031,0.011602537182729224,270.96561538358634,0.22964301872866588,0.0,1.0258577304703722,1.059829882412927,0.5199318749363979,1.069474400408597,0.4342066065658903,0.6352677938427067,0.5351666666666666
Computacao_superficial,6,0.2648005011143868,0.013873116086649416,271.9470614739166,0.22880176496812435,0.0,1.0311249445973054,1.0719984196905823,0.5239331196962186,1.073567254950637,0.43586830550995853,0.6376989494406784,0.5351666666666666
Computacao_superficial,7,0.27532525819851456,0.01605356729371415,272.9089668570354,0.23048128423646333,0.0,1.0364328512819534,1.0842431365254452,0.5279455430101995,1.0777281687978422,0.4375576365319238,0.6401705322659184,0.5351666666666666
Computacao_superficial,8,0.28582899064935724,0.01829912625172604,273.8727711957935,0.23249322684549692,0.0,1.041771477397194,1.0965551328269831,0.5319614141421074,1.0819580075015223,0.4392749510456179,0.6426830564559043,0.5351666666666666
Computacao_superficial,9,0.29662880335904823,0.020514510983031028,274.85860237279053,0.23402518990198976,0.0,1.0471423744303676,1.1089360580541003,0.5359817352039254,1.086257657570043,0.4410206089734373,0.6452370485966056,0.5351666666666666
Computacao_superficial,10,0.3074271670063598,0.022589066552676767,275.836572020906,0.23668926184151232,0.0,1.052552432925607,1.1213925059273013,0.5400114501024845,1.090628068370839,0.4427949957585606,0.6478330726122783,0.5351666666666666
Computacao_superficial,11,0.3181602568327519,0.02488478603299433,276.82148377843487,0.23870989732725725,0.0,1.0579973255166921,1.1339207704869954,0.5440471281166622,1.095070166541762,0.4445984876159553,0.6504716789258067,0.5351666666666666
Computacao_superficial,12,0.32901016035446246,0.027164721036523367,277.8148724853658,0.24140434297045354,0.0,1.063469658979024,1.146514276649849,0.5480831499891966,1.0995848306350937,0.446431441237848,0.6531533893972457,0.5351666666666666
Computacao_superficial,13,0.3398515867649653,0.029501553475840006,278.8107123823684,0.24419458011571635,0.0,1.0689776150301302,1.1591807742574924,0.5521253846060699,1.1041730127992502,0.44829424319649547,0.6558787696027547,0.5351666666666666
Computacao_superficial,14,0.35050909950660497,0.031807029440934484,279.7901145797798,0.2465173815328505,0.0,1.074526799127372,1.1719257062629849,0.5561777179064967,1.1088357206400958,0.4501873025798789,0.658648418060217,0.5351666666666666
Computacao_superficial,15,0.36109307264531537,0.03416825077888668,280.766699604464,0.25020057973963655,0.0,1.0801102381605605,1.184742939978769,0.5602348595435425,1.1135739173187191,0.45211101043139995,0.6614629068873192,0.5351666666666666
Computacao_superficial,16,0.3717799883625379,0.036401267149829455,281.7444687622437,0.25456979411838343,0.0,1.0857286692372488,1.1976334107773516,0.5642971702601866,1.118388582386601,0.45406576444896,0.664322817937641,0.5351666666666666
Computacao_superficial,17,0.382240584922248,0.038771762456947155,282.7116937289119,0.2589871170700232,0.0,1.0913861923967692,1.2106011719774514,0.5683674139279449,1.1232807397347624,0.4560519803323135,0.6672287594024489,0.5351666666666666
Computacao_superficial,18,0.393200052030557,0.04099906268961626,283.71095261037345,0.26287620256518857,0.0,1.0970820401921533,1.2236458078584957,0.5724448282071526,1.12825141857675,0.4580700759421604,0.6701813426345896,0.5351666666666666
Computacao_superficial,19,0.40373883329442234,0.043497761635217326,284.69148355349074,0.2660751976734151,0.0,1.1028180024400476,1.2367692647066797,0.5765304801320288,1.1333016746871225,0.46012047992297167,0.6731811947641508,0.5351666666666666
Computacao_superficial,20,0.4140240906766923,0.045835145788168226,285.6428602724846,0.26992771209554073,0.0,1.1086013002738793,1.2499785349222223,0.580629252489145,1.1384326368345958,0.46220365055484586,0.6762289862797499,0.5351666666666666
Computacao_estruturada,0,0.1977363875145384,0.0,265.8189110011631,0.24369463562546462,0.0,1.0,1.0,0.5,1.2,0.7649999999999999,0.43500000000000005,0.9741666666666665
Computacao_estruturada,1,0.2382185514740409,0.043200016761213135,271.43348503978996,0.2173597189434781,0.0,1.0089945305934318,1.0173946121512194,0.5072409944921049,1.2115178416220793,0.7723426240340755,0.4391752175880038,0.9741666666666665
Computacao_estruturada,2,0.2784688175068606,0.08855394650848698,277.14797245851565,0.21689917414251647,0.0,1.018087040163155,1.034985786644219,0.5145231768478131,1.2233404186351202,0.7798795168798891,0.4434609017552311,0.9741666666666665
Computacao_estruturada,3,0.31955582447998965,0.13614104069255267,283.0522231964896,0.22553178912363386,0.0,1.027292689845765,1.0527859405392217,0.521856714854996,1.2354750651888433,0.7876153540578876,0.4478597111309557,0.9741666666666665
Computacao_estruturada,4,0.360210294297181,0.18575738622569585,289.03347978618774,0.23734051803947517,0.0,1.0366296213853055,1.070810116258116,0.529253871496427,1.2479296408949438,0.7955551460705267,0.45237449482441716,0.9741666666666665
Computacao_estruturada,5,0.40098598141697095,0.23755324127209745,295.14430678332303,0.2514086858900244,0.0,1.0461092832973697,1.0890684471394445,0.5367213356119246,1.2607124142494246,0.8037041640840081,0.45700825016541646,0.9741666666666665
Computacao_estruturada,6,0.4422510484165065,0.29129065125094156,301.4010696921223,0.2645405902134766,0.0,1.055739517031825,1.1075684139397506,0.5442627624019492,1.2738320022392924,0.8120679014275489,0.46176410081174346,0.9741666666666665
Computacao_estruturada,7,0.48366183428930726,0.3471484480245089,307.7861113844926,0.27648504614698205,0.0,1.0655286000598534,1.1263179494472695,0.551881985593869,1.2872973933834948,0.8206520882819779,0.4666453051015169,0.9741666666666665
Computacao_estruturada,8,0.5250989755513106,0.40511021930813085,314.288980106052,0.2869896717246259,0.0,1.075517762765143,1.145351194374227,0.5596080452655127,1.3011187005011,0.8294631715694513,0.47165552893164875,0.9741666666666665
Computacao_estruturada,9,0.5671356056969398,0.46539130003069334,320.96736995744334,0.2964288773781307,0.0,1.0857153411705638,1.1646769643178088,0.567444026820044,1.3153064763079327,0.838507878646307,0.4767985976616257,0.9741666666666665
Computacao_estruturada,10,0.608647812856342,0.5278273838564792,327.72233114061373,0.30446332156816436,0.0,1.0961284477942386,1.1843032196390568,0.5753919096592,1.3298717019153696,0.8477932099710481,0.4820784919443215,0.9741666666666665
Computacao_estruturada,11,0.6506708931199942,0.5924732498380108,334.6397001906901,0.311835748940229,0.0,1.1067714616157405,1.204243794272661,0.5834589843458047,1.3448259722091391,0.8573265572833262,0.48749941492581295,0.9741666666666665
Computacao_estruturada,12,0.6931724867201898,0.6592398545295075,341.7119909367381,0.31924188118329544,0.0,1.117682248535848,1.2245315366309024,0.5916698217566492,1.3601820811585288,0.8671160767385621,0.49306600441996673,0.9741666666666665
Computacao_estruturada,13,0.7357514340947493,0.7282194713735871,348.9121856531272,0.3248204233563265,0.0,1.1288699133588105,1.245176934486515,0.600026822174279,1.375953393129374,0.877170288119976,0.49878310500939793,0.9741666666666665
Computacao_estruturada,14,0.7788916635442029,0.7993103241171633,356.2734009099802,0.3308224083677763,0.0,1.1403607034032894,1.26620436762942,0.6085448084669436,1.3921542844006491,0.8874983563054137,0.5046559280952354,0.9741666666666665
Computacao_estruturada,15,0.8217418743125718,0.8722291652429842,363.71195403336986,0.336458123685935,0.0016666666666666668,1.1521701055855371,1.2876300277244304,0.6172301613586432,1.4087999266171307,0.8981099532184208,0.5106899733987099,0.9741666666666665
Computacao_estruturada,16,0.8646747792335309,0.9476385243878188,371.2941011800125,0.34059792778616416,0.0016666666666666668,1.1643295335399764,1.3094832114148094,0.6261004606035724,1.4259067237559857,0.9090155363944408,0.5168911873615449,0.9741666666666665
Computacao_estruturada,17,0.9086039896382715,1.0252962156796437,379.0796110334421,0.3447241882658396,0.0025,1.1768643727488042,1.3317888962821132,0.6351682196703894,1.4434922213795038,0.9202262911294337,0.5232659302500702,0.9741666666666665
Computacao_estruturada,18,0.952567310821416,1.105302974106584,386.99704844157543,0.3489119349683777,0.0075,1.1898001716281053,1.3545726511545368,0.6444454758256647,1.461575167450616,0.9317541692497678,0.5298209982008483,0.9741666666666665
Computacao_estruturada,19,0.9966330551156644,1.1871632839922748,395.02462502882827,0.35303597766757494,0.01,1.2031592024111117,1.377857861873977,0.6539413508730564,1.4801754855985743,0.9436118720690911,0.5365636135294831,0.9741666666666665
Computacao_estruturada,20,1.040929615440158,1.2713054537497714,403.19616919145005,0.35649621248691693,0.015,1.2169831676959884,1.4016841344954813,0.6636780437639883,1.4993148532973406,0.9558132189770546,0.543501634320286,0.9741666666666665
Boa_educacao_mau_ambiente_institucional,0,0.20289604416046966,0.0,266.23168353283756,0.24416679378362233,0.0,1.0,1.0,0.5,1.2,0.3665999999999999,0.8334,0.46466666666666656
